rent_price,location,sq_mt,bedroom_n,bathroom_n
1.350 €/mes,Castellana (Distrito Salamanca. Madrid Capital),70 m²,2,1
1.200 €/mes,Fuente del Berro (Distrito Salamanca. Madrid Capital),70 m²,2,2
2.200 €/mes,Universidad-Malasaña (Distrito Centro. Madrid Capital),100 m²,4,2
750 €/mes,San Isidro (Distrito Carabanchel. Madrid Capital),37 m²,2,1
890 €/mes,Chopera (Distrito Arganzuela. Madrid Capital),52 m²,2,1
1.900 €/mes,Costillares (Distrito Ciudad Lineal. Madrid Capital),180 m²,4,3
1.340 €/mes,Cortes-Huertas (Distrito Centro. Madrid Capital),41 m²,1,1
900 €/mes,Canillas (Distrito Hortaleza. Madrid Capital),57 m²,2,2
1.800 €/mes,Castellana (Distrito Salamanca. Madrid Capital),105 m²,3,2
2.400 €/mes,Ibiza (Distrito Retiro. Madrid Capital),110 m²,3,2
650 €/mes,Pacífico (Distrito Retiro. Madrid Capital),31 m²,1,1
2.000 €/mes,Cuatro Caminos (Distrito Tetuán. Madrid Capital),125 m²,2,2
700 €/mes,Aeropuerto (Distrito Barajas. Madrid Capital),50 m²,2,1
2.100 €/mes,Justicia-Chueca (Distrito Centro. Madrid Capital),98 m²,1,2
880 €/mes,San Fermín (Distrito Usera. Madrid Capital),70 m²,3,1
800 €/mes,Puerta del Ángel (Distrito Latina. Madrid Capital),65 m²,2,1
700 €/mes,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),45 m²,1,1
1.330 €/mes,Mirasierra-Arroyo del Fresno (Distrito Fuencarral-El Pardo. Madrid Capital),96 m²,2,2
1.175 €/mes,Arapiles (Distrito Chamberí. Madrid Capital),66 m²,1,1
850 €/mes,Universidad-Malasaña (Distrito Centro. Madrid Capital),44 m²,2,1
890 €/mes,Imperial (Distrito Arganzuela. Madrid Capital),50 m²,2,1
900 €/mes,Adelfas (Distrito Retiro. Madrid Capital),55 m²,2,1
2.400 €/mes,Trafalgar (Distrito Chamberí. Madrid Capital),100 m²,2,2
750 €/mes,Trafalgar (Distrito Chamberí. Madrid Capital),28 m²,1,1
620 €/mes,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),20 m²,1,1
2.400 €/mes,Justicia-Chueca (Distrito Centro. Madrid Capital),167 m²,4,3
740 €/mes,Arapiles (Distrito Chamberí. Madrid Capital),41 m²,2,1
950 €/mes,Castellana (Distrito Salamanca. Madrid Capital),50 m²,2,1
2.000 €/mes,Almagro (Distrito Chamberí. Madrid Capital),110 m²,2,2
690 €/mes,Universidad-Malasaña (Distrito Centro. Madrid Capital),40 m²,1,1
800 €/mes,Palomas (Distrito Hortaleza. Madrid Capital),200 m²,9,9
1.100 €/mes,Arapiles (Distrito Chamberí. Madrid Capital),58 m²,2,1
825 €/mes,Valdeacederas (Distrito Tetuán. Madrid Capital),52 m²,2,1
800 €/mes,Almenara (Distrito Tetuán. Madrid Capital),51 m²,1,1
2.200 €/mes,Pinar del Rey (Distrito Hortaleza. Madrid Capital),140 m²,3,2
1.300 €/mes,Almenara (Distrito Tetuán. Madrid Capital),74 m²,2,2
800 €/mes,Chopera (Distrito Arganzuela. Madrid Capital),53 m²,3,1
3.300 €/mes,Ríos Rosas (Distrito Chamberí. Madrid Capital),168 m²,3,4
980 €/mes,Ibiza (Distrito Retiro. Madrid Capital),80 m²,2,1
900 €/mes,Casco Histórico de Barajas (Distrito Barajas. Madrid Capital),81 m²,3,1
1.750 €/mes,Arapiles (Distrito Chamberí. Madrid Capital),130 m²,3,2
1.300 €/mes,Valdebernardo (Distrito Vicálvaro. Madrid Capital),110 m²,3,2
1.900 €/mes,Vallehermoso (Distrito Chamberí. Madrid Capital),121 m²,3,2
650 €/mes,Puerta Bonita (Distrito Carabanchel. Madrid Capital),47 m²,1,1
2.850 €/mes,Ríos Rosas (Distrito Chamberí. Madrid Capital),245 m²,3,3
800 €/mes,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),35 m²,1,1
1.100 €/mes,Acacias (Distrito Arganzuela. Madrid Capital),92 m²,3,2
900 €/mes,Rejas (Distrito San Blas. Madrid Capital),98 m²,3,1
850 €/mes,Prosperidad (Distrito Chamartín. Madrid Capital),65 m²,1,1
1.150 €/mes,Universidad-Malasaña (Distrito Centro. Madrid Capital),71 m²,2,1
1.250 €/mes,La Paz (Distrito Fuencarral-El Pardo. Madrid Capital),114 m²,3,2
850 €/mes,Palacio (Distrito Centro. Madrid Capital),2,1,
750 €/mes,Numancia (Distrito Puente de Vallecas. Madrid Capital),64 m²,2,1
1.300 €/mes,Goya (Distrito Salamanca. Madrid Capital),75 m²,3,1
725 €/mes,Numancia (Distrito Puente de Vallecas. Madrid Capital),45 m²,1,1
1.750 €/mes,Las Tablas (Distrito Fuencarral-El Pardo. Madrid Capital),115 m²,4,2
900 €/mes,Ríos Rosas (Distrito Chamberí. Madrid Capital),32 m²,1,1
675 €/mes,Cuatro Caminos (Distrito Tetuán. Madrid Capital),32 m²,1,1
1.050 €/mes,Sol (Distrito Centro. Madrid Capital),58 m²,3,1
1.450 €/mes,Lista (Distrito Salamanca. Madrid Capital),59 m²,1,1
590 €/mes,Delicias (Distrito Arganzuela. Madrid Capital),30 m²,1,"19
 €/m²"
950 €/mes,Pinar del Rey (Distrito Hortaleza. Madrid Capital),70 m²,2,1
5.000 €/mes,Recoletos (Distrito Salamanca. Madrid Capital),350 m²,5,3
800 €/mes,Puerta del Ángel (Distrito Latina. Madrid Capital),60 m²,2,1
2.700 €/mes,Vallehermoso (Distrito Chamberí. Madrid Capital),252 m²,4,4
1.000 €/mes,Guindalera (Distrito Salamanca. Madrid Capital),50 m²,1,1
890 €/mes,Arapiles (Distrito Chamberí. Madrid Capital),55 m²,2,1
1.100 €/mes,Prosperidad (Distrito Chamartín. Madrid Capital),65 m²,3,1
860 €/mes,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),47 m²,1,1
1.050 €/mes,Cármenes (Distrito Latina. Madrid Capital),80 m²,3,1
1.700 €/mes,Vallehermoso (Distrito Chamberí. Madrid Capital),100 m²,3,2
900 €/mes,Universidad-Malasaña (Distrito Centro. Madrid Capital),50 m²,2,1
750 €/mes,Rejas (Distrito San Blas. Madrid Capital),55 m²,1,1
850 €/mes,San Pascual (Distrito Ciudad Lineal. Madrid Capital),62 m²,2,1
2.150 €/mes,Cuatro Caminos (Distrito Tetuán. Madrid Capital),180 m²,4,2
1.500 €/mes,Lista (Distrito Salamanca. Madrid Capital),60 m²,2,1
680 €/mes,Almenara (Distrito Tetuán. Madrid Capital),61 m²,1,1
700 €/mes,Justicia-Chueca (Distrito Centro. Madrid Capital),30 m²,1,1
950 €/mes,Almagro (Distrito Chamberí. Madrid Capital),68 m²,1,1
650 €/mes,Campamento (Distrito Latina. Madrid Capital),64 m²,3,1
700 €/mes,Moscardó (Distrito Usera. Madrid Capital),50 m²,2,1
900 €/mes,Santa Eugenia (Distrito Villa de Vallecas. Madrid Capital),80 m²,2,2
800 €/mes,Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital),63 m²,2,1
695 €/mes,Abrantes (Distrito Carabanchel. Madrid Capital),44 m²,1,1
1.250 €/mes,Legazpi (Distrito Arganzuela. Madrid Capital),91 m²,2,2
800 €/mes,Valverde (Distrito Fuencarral-El Pardo. Madrid Capital),50 m²,1,1
900 €/mes,Quintana (Distrito Ciudad Lineal. Madrid Capital),60 m²,1,1
1.600 €/mes,Palacio (Distrito Centro. Madrid Capital),92 m²,2,2
1.050 €/mes,Recoletos (Distrito Salamanca. Madrid Capital),56 m²,1,1
700 €/mes,Rejas (Distrito San Blas. Madrid Capital),55 m²,1,1
850 €/mes,Timón (Distrito Barajas. Madrid Capital),58 m²,1,1
800 €/mes,Aluche (Distrito Latina. Madrid Capital),90 m²,2,1
1.950 €/mes,El Viso (Distrito Chamartín. Madrid Capital),117 m²,2,2
1.090 €/mes,Zofío (Distrito Usera. Madrid Capital),130 m²,2,"8
 €/m²"
995 €/mes,Casco Histórico de Barajas (Distrito Barajas. Madrid Capital),80 m²,2,2
780 €/mes,Concepción (Distrito Ciudad Lineal. Madrid Capital),55 m²,2,1
