rent_price,location,sq_mt,bedroom_n,bathroom_n
715 €/mes,Almenara (Distrito Tetuán. Madrid Capital),40 m²,1,1
1.300 €/mes,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),69 m²,2,2
900 €/mes,Rejas (Distrito San Blas. Madrid Capital),89 m²,3,2
900 €/mes,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),61 m²,2,1
820 €/mes,Puerta del Ángel (Distrito Latina. Madrid Capital),42 m²,2,1
650 €/mes,Vista Alegre (Distrito Carabanchel. Madrid Capital),32 m²,1,1
1.250 €/mes,Castellana (Distrito Salamanca. Madrid Capital),55 m²,1,1
650 €/mes,Moscardó (Distrito Usera. Madrid Capital),45 m²,1,1
700 €/mes,Numancia (Distrito Puente de Vallecas. Madrid Capital),57 m²,2,1
900 €/mes,Goya (Distrito Salamanca. Madrid Capital),55 m²,1,1
775 €/mes,Universidad-Malasaña (Distrito Centro. Madrid Capital),40 m²,1,1
4.300 €/mes,El Viso (Distrito Chamartín. Madrid Capital),248 m²,3,2
900 €/mes,Cuatro Vientos (Distrito Latina. Madrid Capital),100 m²,3,2
5.600 €/mes,Nueva España (Distrito Chamartín. Madrid Capital),403 m²,4,4
950 €/mes,Guindalera (Distrito Salamanca. Madrid Capital),52 m²,1,1
700 €/mes,Arapiles (Distrito Chamberí. Madrid Capital),50 m²,1,5ª planta
1.500 €/mes,Almenara (Distrito Tetuán. Madrid Capital),108 m²,3,2
900 €/mes,Sanchinarro (Distrito Hortaleza. Madrid Capital),67 m²,1,1
1.250 €/mes,Acacias (Distrito Arganzuela. Madrid Capital),95 m²,3,2
1.000 €/mes,Goya (Distrito Salamanca. Madrid Capital),69 m²,2,1
1.650 €/mes,El Pardo (Distrito Fuencarral-El Pardo. Madrid Capital),158 m²,3,2
790 €/mes,Almenara (Distrito Tetuán. Madrid Capital),57 m²,1,1
800 €/mes,Universidad-Malasaña (Distrito Centro. Madrid Capital),36 m²,2,1
2.000 €/mes,Adelfas (Distrito Retiro. Madrid Capital),112 m²,3,2
1.350 €/mes,Castellana (Distrito Salamanca. Madrid Capital),70 m²,2,1
550 €/mes,Prosperidad (Distrito Chamartín. Madrid Capital),25 m²,1,1
1.300 €/mes,Niño Jesús (Distrito Retiro. Madrid Capital),62 m²,2,1
1.000 €/mes,Sol (Distrito Centro. Madrid Capital),57 m²,1,1
950 €/mes,El Pardo (Distrito Fuencarral-El Pardo. Madrid Capital),95 m²,2,1
800 €/mes,Cortes-Huertas (Distrito Centro. Madrid Capital),56 m²,1,1
1.300 €/mes,Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital),130 m²,3,2
600 €/mes,Canillas (Distrito Hortaleza. Madrid Capital),37 m²,1,1
1.000 €/mes,Cuatro Caminos (Distrito Tetuán. Madrid Capital),55 m²,1,1
1.900 €/mes,Palacio (Distrito Centro. Madrid Capital),75 m²,2,1
750 €/mes,Cuatro Caminos (Distrito Tetuán. Madrid Capital),48 m²,1,1
1.800 €/mes,Castellana (Distrito Salamanca. Madrid Capital),120 m²,2,2
1.150 €/mes,Las Tablas (Distrito Fuencarral-El Pardo. Madrid Capital),72 m²,2,2
1.300 €/mes,Palos de Moguer (Distrito Arganzuela. Madrid Capital),78 m²,2,1
800 €/mes,Cuatro Caminos (Distrito Tetuán. Madrid Capital),49 m²,1,1
925 €/mes,Castillejos (Distrito Tetuán. Madrid Capital),60 m²,1,1
1.400 €/mes,Lista (Distrito Salamanca. Madrid Capital),70 m²,2,1
800 €/mes,Marroquina (Distrito Moratalaz. Madrid Capital),61 m²,3,1
1.250 €/mes,Atocha (Distrito Arganzuela. Madrid Capital),83 m²,2,2
950 €/mes,Chopera (Distrito Arganzuela. Madrid Capital),60 m²,2,1
1.100 €/mes,Arapiles (Distrito Chamberí. Madrid Capital),2,,"Avísame si baja





Guardar




Contactar"
750 €/mes,Sol (Distrito Centro. Madrid Capital),80 m²,"9
 €/m²",
890 €/mes,Castellana (Distrito Salamanca. Madrid Capital),35 m²,1,1
1.000 €/mes,Sol (Distrito Centro. Madrid Capital),67 m²,2,2
800 €/mes,Pacífico (Distrito Retiro. Madrid Capital),39 m²,2,1
950 €/mes,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),55 m²,3,1
2.150 €/mes,Cuatro Caminos (Distrito Tetuán. Madrid Capital),180 m²,4,2
950 €/mes,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),60 m²,2,2
760 €/mes,Palos de Moguer (Distrito Arganzuela. Madrid Capital),35 m²,1,1
1.200 €/mes,Acacias (Distrito Arganzuela. Madrid Capital),65 m²,2,1
1.390 €/mes,Almendrales (Distrito Usera. Madrid Capital),117 m²,3,2
1.950 €/mes,Prosperidad (Distrito Chamartín. Madrid Capital),161 m²,4,3
775 €/mes,Comillas (Distrito Carabanchel. Madrid Capital),60 m²,2,1
900 €/mes,Lista (Distrito Salamanca. Madrid Capital),48 m²,1,1
850 €/mes,Casa de Campo (Distrito Moncloa-Aravaca. Madrid Capital),45 m²,1,1
1.300 €/mes,Adelfas (Distrito Retiro. Madrid Capital),80 m²,2,2
650 €/mes,Puerta del Ángel (Distrito Latina. Madrid Capital),40 m²,1,1
700 €/mes,Ambroz (Distrito Vicálvaro. Madrid Capital),56 m²,2,1
900 €/mes,Casa de Campo (Distrito Moncloa-Aravaca. Madrid Capital),80 m²,3,1
850 €/mes,Pueblo Nuevo (Distrito Ciudad Lineal. Madrid Capital),55 m²,2,1
1.250 €/mes,Vallehermoso (Distrito Chamberí. Madrid Capital),72 m²,2,1
750 €/mes,Prosperidad (Distrito Chamartín. Madrid Capital),46 m²,1,1
1.900 €/mes,Estrella (Distrito Retiro. Madrid Capital),135 m²,4,3
940 €/mes,Canillejas (Distrito San Blas. Madrid Capital),97 m²,2,2
1.050 €/mes,Pilar (Distrito Fuencarral-El Pardo. Madrid Capital),62 m²,2,1
750 €/mes,Bellas Vistas (Distrito Tetuán. Madrid Capital),25 m²,1,1
850 €/mes,Ríos Rosas (Distrito Chamberí. Madrid Capital),33 m²,2,1
890 €/mes,Bellas Vistas (Distrito Tetuán. Madrid Capital),76 m²,2,1
1.000 €/mes,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),45 m²,1,2
790 €/mes,Universidad-Malasaña (Distrito Centro. Madrid Capital),41 m²,1,1
1.500 €/mes,Vallehermoso (Distrito Chamberí. Madrid Capital),61 m²,1,1
800 €/mes,Fontarrón (Distrito Moratalaz. Madrid Capital),60 m²,2,1
950 €/mes,Pacífico (Distrito Retiro. Madrid Capital),46 m²,1,1
1.350 €/mes,Arapiles (Distrito Chamberí. Madrid Capital),68 m²,3,1
1.350 €/mes,Chopera (Distrito Arganzuela. Madrid Capital),130 m²,4,2
1.500 €/mes,Alameda de Osuna (Distrito Barajas. Madrid Capital),121 m²,2,2
900 €/mes,Simancas (Distrito San Blas. Madrid Capital),80 m²,1,1
900 €/mes,Justicia-Chueca (Distrito Centro. Madrid Capital),32 m²,1,1
1.000 €/mes,Concepción (Distrito Ciudad Lineal. Madrid Capital),53 m²,2,1
800 €/mes,Puerta Bonita (Distrito Carabanchel. Madrid Capital),59 m²,2,1
1.800 €/mes,Nueva España (Distrito Chamartín. Madrid Capital),83 m²,1,1
900 €/mes,Rejas (Distrito San Blas. Madrid Capital),95 m²,1,1
880 €/mes,Palacio (Distrito Centro. Madrid Capital),47 m²,1,1
650 €/mes,Ventas (Distrito Ciudad Lineal. Madrid Capital),50 m²,1,1
780 €/mes,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),41 m²,2,1
1.200 €/mes,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),70 m²,2,1
1.475 €/mes,Goya (Distrito Salamanca. Madrid Capital),91 m²,2,2
775 €/mes,Universidad-Malasaña (Distrito Centro. Madrid Capital),47 m²,1,1
995 €/mes,Campamento (Distrito Latina. Madrid Capital),120 m²,3,2
775 €/mes,Rejas (Distrito San Blas. Madrid Capital),57 m²,1,1
1.000 €/mes,San Juan Bautista (Distrito Ciudad Lineal. Madrid Capital),74 m²,2,1
1.100 €/mes,Casa de Campo (Distrito Moncloa-Aravaca. Madrid Capital),85 m²,3,1
1.100 €/mes,Sol (Distrito Centro. Madrid Capital),70 m²,5ª planta,"15
 €/m²"
1.400 €/mes,Castellana (Distrito Salamanca. Madrid Capital),50 m²,1,1ª planta
780 €/mes,Bellas Vistas (Distrito Tetuán. Madrid Capital),45 m²,1,1
1.300 €/mes,Goya (Distrito Salamanca. Madrid Capital),80 m²,2,1
1.395 €/mes,Vallehermoso (Distrito Chamberí. Madrid Capital),97 m²,3,2
895 €/mes,Castillejos (Distrito Tetuán. Madrid Capital),41 m²,1,1
850 €/mes,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),43 m²,2,1
2.500 €/mes,Bellas Vistas (Distrito Tetuán. Madrid Capital),166 m²,3,3
850 €/mes,Aluche (Distrito Latina. Madrid Capital),70 m²,2,1
700 €/mes,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),50 m²,1,1
700 €/mes,Universidad-Malasaña (Distrito Centro. Madrid Capital),38 m²,1,1
875 €/mes,Valdeacederas (Distrito Tetuán. Madrid Capital),70 m²,2,1
1.100 €/mes,Imperial (Distrito Arganzuela. Madrid Capital),90 m²,2,1
950 €/mes,La Paz (Distrito Fuencarral-El Pardo. Madrid Capital),48 m²,2,1
2.600 €/mes,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),104 m²,2,1
1.300 €/mes,Imperial (Distrito Arganzuela. Madrid Capital),108 m²,3,2
795 €/mes,Vista Alegre (Distrito Carabanchel. Madrid Capital),57 m²,2,1
895 €/mes,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),39 m²,1,"22
 €/m²"
800 €/mes,Cuatro Caminos (Distrito Tetuán. Madrid Capital),51 m²,2,1
1.250 €/mes,Prosperidad (Distrito Chamartín. Madrid Capital),71 m²,2,1
800 €/mes,Almendrales (Distrito Usera. Madrid Capital),52 m²,3,1
900 €/mes,Prosperidad (Distrito Chamartín. Madrid Capital),65 m²,1,1
1.600 €/mes,Jerónimos (Distrito Retiro. Madrid Capital),145 m²,2,2
1.100 €/mes,Pueblo Nuevo (Distrito Ciudad Lineal. Madrid Capital),102 m²,3,1
3.450 €/mes,Almagro (Distrito Chamberí. Madrid Capital),237 m²,4,2
1.050 €/mes,Aluche (Distrito Latina. Madrid Capital),80 m²,3,2
1.750 €/mes,Guindalera (Distrito Salamanca. Madrid Capital),145 m²,3ª planta,"12
 €/m²"
750 €/mes,Cuatro Caminos (Distrito Tetuán. Madrid Capital),1,1,2ª planta
725 €/mes,San Diego (Distrito Puente de Vallecas. Madrid Capital),62 m²,2,1
1.200 €/mes,Guindalera (Distrito Salamanca. Madrid Capital),110 m²,2,2
800 €/mes,Concepción (Distrito Ciudad Lineal. Madrid Capital),70 m²,2,1
1.250 €/mes,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),50 m²,2,1
775 €/mes,Aluche (Distrito Latina. Madrid Capital),55 m²,2,1
1.200 €/mes,Sanchinarro (Distrito Hortaleza. Madrid Capital),130 m²,3,2
750 €/mes,Rejas (Distrito San Blas. Madrid Capital),50 m²,1,1
1.200 €/mes,Acacias (Distrito Arganzuela. Madrid Capital),85 m²,3,1
750 €/mes,Casco Histórico de Vallecas (Distrito Villa de Vallecas. Madrid Capital),67 m²,2,1
1.250 €/mes,Castillejos (Distrito Tetuán. Madrid Capital),105 m²,3,2
1.300 €/mes,Goya (Distrito Salamanca. Madrid Capital),78 m²,2,1
2.950 €/mes,Goya (Distrito Salamanca. Madrid Capital),194 m²,5,3
700 €/mes,Puerta Bonita (Distrito Carabanchel. Madrid Capital),59 m²,2,1
1.600 €/mes,Prosperidad (Distrito Chamartín. Madrid Capital),3,1,2ª planta
1.300 €/mes,Fuente del Berro (Distrito Salamanca. Madrid Capital),90 m²,3,2
2.400 €/mes,Recoletos (Distrito Salamanca. Madrid Capital),120 m²,3,2
650 €/mes,San Diego (Distrito Puente de Vallecas. Madrid Capital),60 m²,2,1
620 €/mes,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),20 m²,1,1
900 €/mes,Opañel (Distrito Carabanchel. Madrid Capital),67 m²,3,1
1.000 €/mes,Lucero (Distrito Latina. Madrid Capital),66 m²,1,4ª planta
700 €/mes,Trafalgar (Distrito Chamberí. Madrid Capital),45 m²,1,1
1.050 €/mes,Guindalera (Distrito Salamanca. Madrid Capital),65 m²,2,2
2.700 €/mes,Piovera (Distrito Hortaleza. Madrid Capital),148 m²,4,3
1.350 €/mes,Prosperidad (Distrito Chamartín. Madrid Capital),85 m²,2,2
1.680 €/mes,Castellana (Distrito Salamanca. Madrid Capital),75 m²,2,1
950 €/mes,Canillas (Distrito Hortaleza. Madrid Capital),72 m²,2,1
1.150 €/mes,Cuatro Caminos (Distrito Tetuán. Madrid Capital),58 m²,1,1
800 €/mes,Cuatro Caminos (Distrito Tetuán. Madrid Capital),45 m²,2,1
1.200 €/mes,Concepción (Distrito Ciudad Lineal. Madrid Capital),97 m²,3,2
825 €/mes,Universidad-Malasaña (Distrito Centro. Madrid Capital),32 m²,1,1
800 €/mes,Justicia-Chueca (Distrito Centro. Madrid Capital),45 m²,1,1
975 €/mes,Simancas (Distrito San Blas. Madrid Capital),60 m²,2,1
1.700 €/mes,Imperial (Distrito Arganzuela. Madrid Capital),135 m²,4,2
